method,geoid,indicator,anchor_year,target_year,horizon,actual,projected,ci90_low,ci90_high,sample_se,forecast_se,abs_pct_err,in_ci
damped_log_trend,15001,B19013_001E,2015,2017,2,57545.00,60883.70,47032.18,74735.22,3464.83,7674.48,0.058019,1
damped_log_trend,15001,B19013_001E,2016,2018,2,57571.00,59522.19,45329.31,73715.07,2195.04,8344.00,0.033892,1
damped_log_trend,15001,B19013_001E,2017,2019,2,67075.00,59776.78,46251.46,73302.11,2604.22,7798.76,0.108807,1
damped_log_trend,15001,B19013_001E,2019,2021,2,69473.00,67484.60,52215.29,82753.91,2938.20,8804.96,0.028621,1
damped_log_trend,15001,B19013_001E,2021,2023,2,74580.00,72051.12,56754.01,87348.22,3089.26,8771.01,0.033908,1
damped_log_trend,15001,B19013_001E,2022,2024,2,75465.00,75404.75,59938.07,90871.44,3722.41,8633.99,0.000798,1
damped_log_trend,15003,B19013_001E,2015,2017,2,81284.00,78641.26,68319.97,88962.55,1171.75,6163.96,0.032512,1
damped_log_trend,15003,B19013_001E,2016,2018,2,84423.00,82483.70,73073.01,91894.38,1040.67,5625.33,0.022971,1
damped_log_trend,15003,B19013_001E,2017,2019,2,87470.00,84036.27,74524.85,93547.68,963.47,5701.18,0.039256,1
damped_log_trend,15003,B19013_001E,2019,2021,2,90704.00,89997.95,81016.18,98979.72,1374.16,5284.29,0.007784,1
damped_log_trend,15003,B19013_001E,2021,2023,2,103131.00,93109.84,84056.01,102163.67,1442.13,5311.55,0.097169,0
damped_log_trend,15003,B19013_001E,2022,2024,2,105205.00,98593.02,89606.78,107579.27,1089.11,5353.10,0.062849,1
damped_log_trend,15007,B19013_001E,2015,2017,2,83860.00,79382.51,54300.49,104464.53,3292.40,14887.72,0.053392,1
damped_log_trend,15007,B19013_001E,2016,2018,2,80921.00,77504.05,52824.02,102184.08,6999.48,13270.23,0.042226,1
damped_log_trend,15007,B19013_001E,2017,2019,2,81971.00,87223.27,61673.94,112772.60,4478.46,14871.82,0.064075,1
damped_log_trend,15007,B19013_001E,2019,2021,2,80582.00,86303.15,61443.61,111162.69,8148.23,12727.31,0.070998,1
damped_log_trend,15007,B19013_001E,2021,2023,2,103564.00,84272.18,62787.28,105757.08,5089.11,12028.45,0.186279,1
damped_log_trend,15007,B19013_001E,2022,2024,2,98128.00,88666.64,65751.61,111581.67,6787.20,12164.78,0.096419,1
damped_log_trend,15009,B19013_001E,2015,2017,2,80241.00,72168.75,64557.48,79780.02,1946.61,4197.50,0.100600,0
damped_log_trend,15009,B19013_001E,2016,2018,2,82885.00,74826.63,66791.58,82861.69,2958.12,3886.93,0.097223,0
damped_log_trend,15009,B19013_001E,2017,2019,2,80754.00,82618.16,73023.42,92212.90,3111.41,4933.47,0.023084,1
damped_log_trend,15009,B19013_001E,2019,2021,2,76273.00,85750.60,72869.51,98631.69,4653.53,6297.67,0.124259,1
damped_log_trend,15009,B19013_001E,2021,2023,2,83691.00,80856.43,64951.68,96761.18,4253.26,8682.77,0.033869,1
damped_log_trend,15009,B19013_001E,2022,2024,2,101192.00,94359.26,72791.53,115926.98,5312.39,11986.61,0.067523,1
damped_log_trend,15001,B25058_001E,2015,2017,2,963.00,967.51,749.04,1185.99,38.97,126.96,0.004687,1
damped_log_trend,15001,B25058_001E,2016,2018,2,999.00,1019.01,800.22,1237.80,51.46,122.64,0.020027,1
damped_log_trend,15001,B25058_001E,2017,2019,2,1057.00,1005.67,771.86,1239.47,43.17,135.42,0.048566,1
damped_log_trend,15001,B25058_001E,2019,2021,2,1149.00,1077.63,845.13,1310.13,60.74,127.62,0.062112,1
damped_log_trend,15001,B25058_001E,2021,2023,2,1305.00,1162.56,934.06,1391.05,52.90,128.43,0.109153,1
damped_log_trend,15001,B25058_001E,2022,2024,2,1459.00,1153.42,927.04,1379.80,45.91,129.73,0.209447,0
damped_log_trend,15003,B25058_001E,2015,2017,2,1592.00,1554.93,1488.89,1620.97,32.25,23.92,0.023284,1
damped_log_trend,15003,B25058_001E,2016,2018,2,1593.00,1551.26,1455.23,1647.29,25.97,52.29,0.026201,1
damped_log_trend,15003,B25058_001E,2017,2019,2,1647.00,1630.33,1522.80,1737.86,28.01,59.06,0.010121,1
damped_log_trend,15003,B25058_001E,2019,2021,2,1771.00,1691.20,1584.79,1797.62,33.71,55.22,0.045057,1
damped_log_trend,15003,B25058_001E,2021,2023,2,1853.00,1793.01,1676.67,1909.35,30.77,63.68,0.032375,1
damped_log_trend,15003,B25058_001E,2022,2024,2,1856.00,1786.69,1665.76,1907.61,29.37,67.39,0.037345,1
